,Location,Year,LCOH,Capex,Step,RE_supply_proportion,FLH,EI_market,EI_MEF,EI_AEF,EI_L,Sell_amount,Purchase_amount,Curtailment,LGCs,wind_capacity,pv_capacity,electrolyser_capacity,hydrogen_storage_capacity,hydrogen_storage_type,hydrogen_storage_cost,Grid_max_power_export,grid_cost,production_amount,H2_initial_storage_level,Simultaneity_obligation_interval,ratio,Simultaneity_obligation,Batch_interval,,EI_market,EI_MEF,EI_AEF,EI_L,LGCs,Ratio,Location
0,QLD1,2021,3.594704496,23763427.31,60,0,5384.710679,37.5661476,36.6897367,39.57364076,41.69447143,0,-90060058.29,0,73128.76733,0,0,16482.09525,1625.265654,Pipeline,998.6236819,16726,4516041.078,1576800,0,0,0,0,1,,1.128112541,1.101793895,1.18839762,1.252086229,-1.392731532,0,QLD1
1,QLD1,2021,3.560545325,29719500.45,60,0.089098425,5384.710679,33.30121971,32.86396106,35.28260236,37.15236758,1786734.983,-82035848.96,-4.27E-11,64826.37437,1858.055114,1876.739498,16482.09525,1625.265654,Pipeline,998.6236819,16726,3695133.365,1576800,0,0,0.1,0,1,,1.000036628,0.986905738,1.059537608,1.115686714,-1.234613121,0.226597077,QLD1
2,QLD1,2021,3.526675248,35670322.41,60,0.177401299,5384.710679,29.02937246,29.0258016,30.99047819,32.61026374,3645117.299,-74083286.97,-8.54E-11,56510.51172,3716.110229,3753.478997,16482.09525,1620,Pipeline,998.628141,16726,2875463.685,1576800,0,0,0.2,0,1,,0.871752927,0.871645694,0.930644991,0.979287199,-1.076238181,0.453194155,QLD1
3,QLD1,2021,3.493213232,41626395.55,60,0.264447121,5384.710679,24.74659189,25.19555009,26.69716987,28.06815989,5616709.801,-66243935.16,-1.41E-10,48173.36555,5574.165343,5630.218495,16482.09525,1620,Pipeline,998.628141,16726,2056126.364,1576800,0,0,0.3,0,1,,0.743140898,0.756623126,0.801716813,0.842887684,-0.917457898,0.679791232,QLD1
4,QLD1,2021,3.460273644,47582468.68,60,0.349833261,5384.710679,20.44937611,21.37583992,22.40351594,23.52605604,7737773.343,-58554054.4,-1.71E-10,39808.11883,7432.220457,7506.957993,16482.09525,1620,Pipeline,998.628141,16726,1237965.845,1576800,0,0,0.4,0,1,,0.614095379,0.641917115,0.672778256,0.706488169,-0.758142443,0.906388309,QLD1
5,QLD1,2021,3.42805573,53538541.82,60,0.433175994,5384.710679,16.13438762,17.55535797,18.10717982,18.9839522,10042866.31,-51048203.06,-1.93E-10,31408.27457,9290.275572,9383.697491,16482.09525,1620,Pipeline,998.628141,16726,421430.9512,1576800,0,0,0.5,0,1,,0.484516145,0.527187927,0.543759154,0.570088655,-0.59816808,1.132985387,QLD1
6,QLD1,2021,3.397302831,59494614.96,60,0.511051908,5384.710679,11.77202912,13.73325599,13.81482481,14.44200884,12839954.56,-44034693.65,-346.6607962,22916.21669,11148.33069,11260.43699,16482.09525,1620,Pipeline,998.628141,18517,-391803.8922,1576800,0,0,0.6,0,1,,0.353514388,0.41241009,0.414859604,0.433693959,-0.436437516,1.359582464,QLD1
7,QLD1,2021,3.370132473,65450688.1,60,0.579151784,5384.710679,7.330104733,9.910341014,9.527512237,9.904988027,16506840.72,-37901614.85,-11326.01062,14269.27055,13006.3858,13137.17649,16482.09525,1620,Pipeline,998.628141,21604,-1196968.808,1576800,0,0,0.7,0,1,,0.220123265,0.297607838,0.286111479,0.297447088,-0.271757118,1.586179542,QLD1
8,QLD1,2021,3.346369498,71406761.24,60,0.636588639,5384.710679,2.784976895,6.083670082,5.23662903,5.358539431,21154403.14,-32728848.31,-1941.351909,5421.421689,14864.44091,15013.91599,16482.09525,1620,Pipeline,998.628141,24690,-1994458.348,1576800,0,0,0.8,0,1,,0.08363294,0.182692795,0.157256127,0.1609171,-0.103250543,1.812776619,QLD1
9,QLD1,2021,3.325730668,77362834.38,60,0.685237628,5384.710679,-1.832760513,2.263947768,0.950375816,0.815536811,26585958.1,-28347517.61,-3.29E-10,-3567.773799,16722.49603,16890.65548,16482.09525,1620,Pipeline,998.628141,27776,-2784910.529,1576800,0,0,0.9,0,1,,-0.055037853,0.067986419,0.028539814,0.024490595,0.067947967,2.039373696,QLD1
10,QLD1,2021,3.308213494,83321411.73,60,0.725288674,5384.710679,-6.524281943,-1.551158654,-3.334730389,-3.726567036,32789902.81,-24740518.01,-3.86E-10,-12700.60218,18580.55114,18767.39498,16482.09525,1622.511114,Pipeline,998.6260145,30862,-3568610.809,1576800,0,0,1,0,1,,-0.195924383,-0.046581341,-0.100142054,-0.11190892,0.241881954,2.265970773,QLD1
11,QLD1,2021,3.295724102,89274980.65,60,0.75386352,5384.710679,-11.31426264,-5.365617566,-7.620958856,-8.267448885,40024755.3,-22167065.7,-2639.514174,-22025.09794,20438.60626,20644.13448,16482.09525,1620,Pipeline,998.628141,33948,-4340425.946,1576800,0,0,1.1,0,1,,-0.339767647,-0.161129657,-0.228857623,-0.248271738,0.419466231,2.492567851,QLD1
12,QLD1,2021,3.286149232,95231053.79,60,0.775887028,5384.710679,-16.15128726,-9.186140196,-11.89709263,-12.79937528,47830277.93,-20183627.34,-24622.81796,-31441.17254,22296.66137,22520.87398,16482.09525,1620,Pipeline,998.628141,37034,-5105955.767,1576800,0,0,1.2,0,1,,-0.485023641,-0.275860066,-0.357270049,-0.384365624,0.598794619,2.719164928,QLD1
13,QLD1,2021,3.278430949,101187126.9,60,0.793405355,5384.710679,-21.03654076,-13.00771048,-16.18089163,-17.33945308,56059144.4,-18605925.75,-28999.07494,-40951.13269,24154.71649,24397.61348,16482.09525,1620,Pipeline,998.628141,40121,-5867303.493,1576800,0,0,1.3,0,1,,-0.631727951,-0.390621936,-0.485912662,-0.520704297,0.779911051,2.945762006,QLD1
