,grid_interaction,CP_grid_out,CP_grid_in,grid_pout,grid_pin,pv_pout,wind_pout,curtail_wind,curtail_solar,CP_wind,CP_pv,CP_el,el_pin,el_pout,comp_pin,h2_storage_pin,h2_storage_pout,H2CP_h2_storage,h2_storage_level,price,MEF_CO2,AEF_CO2,Load,Direct_pipeline_supply,Time,,
0,-9295.969942,0,9295.969942,-9295.969942,0,0,-984.8586295,0,0,984.8586295,0,-10131.42857,10131.42857,-180,149.4,180,-180,-180,0,0.037942625,8198.274659,7021.609886,180,180,1/01/2021 0:00,,
1,-9125.086936,0,9125.086936,-9125.086936,0,0,-1155.741636,0,0,1155.741636,0,-10131.42857,10131.42857,-180,149.4,180,-180,-180,0,0.034325,7955.995379,6982.171713,180,180,1/01/2021 1:00,,
2,-15896.57914,0,15896.57914,-15896.57914,0,0,-828.5642591,0,0,828.5642591,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,112.8291034,0.028835833,14390.75938,12047.60911,180,180,1/01/2021 2:00,,
3,-16383.86629,0,16383.86629,-16383.86629,0,0,-341.2771118,0,0,341.2771118,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,225.6582067,0.026915833,14862.97152,12417.42799,180,180,1/01/2021 3:00,,
4,-13414.62956,0,13414.62956,-13414.62956,0,0,-79.75237064,0,0,79.75237064,0,-13298.28289,13298.28289,-236.2639092,196.0990446,236.2639092,-180,-236.2639092,281.9221159,0.030527903,12087.52395,10229.18154,180,180,1/01/2021 4:00,,
5,-15740.94206,0,15740.94206,-15740.94206,0,0,-984.2013425,0,0,984.2013425,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,394.7512192,0.028493194,14089.75093,11860.79232,180,180,1/01/2021 5:00,,
6,-11872.89161,0,11872.89161,-11872.89161,0,-3660.01737,-1192.234419,0,0,1192.234419,3660.01737,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,507.5803226,0.015691042,10379.49908,8565.411352,180,180,1/01/2021 6:00,,
7,-9273.031466,0,9273.031466,-9273.031466,0,-6273.001773,-1179.110163,0,0,1179.110163,6273.001773,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,620.4094259,0.017331827,6556.210623,6377.316958,180,180,1/01/2021 7:00,,
8,-8923.630761,0,8923.630761,-8923.630761,0,-5661.184696,-2140.327944,0,0,2140.327944,5661.184696,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,733.2385293,0.021827018,6753.944718,5978.675849,180,180,1/01/2021 8:00,,
9,0,0,0,0,0,-9915.190117,-3664.930681,-9.09E-13,0,3664.930681,9915.190117,-13382.7758,13382.7758,-237.7650524,197.3449935,237.7650524,-180,-237.7650524,791.0035816,0.0316309,0,0,180,180,1/01/2021 9:00,,
10,-4364.162131,0,4364.162131,-4364.162131,0,-10286.59686,-2074.384407,0,0,2074.384407,10286.59686,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,903.832685,0.02705984,3939.790345,2908.357163,180,180,1/01/2021 10:00,,
11,-2201.331057,0,2201.331057,-2201.331057,0,-9862.453737,-4661.358607,0,0,4661.358607,9862.453737,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1016.661788,0.027918585,1641.559527,1440.249796,180,180,1/01/2021 11:00,,
12,1437.620593,-1437.620593,0,0,1437.620593,-11582.67316,-6580.090834,9.09E-13,0,6580.090834,11582.67316,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1129.490892,0.031453682,-729.356803,-975.8448661,180,180,1/01/2021 12:00,,
13,4449.865708,-4449.865708,0,0,4449.865708,-13305.14467,-7869.864436,0,1.82E-12,7869.864436,13305.14467,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1242.319995,0.030285336,-2811.129704,-3022.291946,180,180,1/01/2021 13:00,,
14,4101.229072,-4101.229072,0,0,4101.229072,-12667.05324,-8159.31923,9.09E-13,0,8159.31923,12667.05324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1355.149098,0.030889582,-3021.819484,-2723.248885,180,180,1/01/2021 14:00,,
15,1382.913527,-1382.913527,0,0,1382.913527,-7982.89913,-10125.1578,0,0,10125.1578,7982.89913,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1467.978202,0.032161335,-795.901738,-932.6699341,180,180,1/01/2021 15:00,,
16,0,0,0,0,0,-3015.169678,-9984.32535,0,0,9984.32535,3015.169678,-12810.58763,12810.58763,-227.5992726,188.9073963,227.5992726,-180,-227.5992726,1515.577474,0.035358961,0,0,180,180,1/01/2021 16:00,,
17,0,0,0,0,0,-2813.420182,-9119.583597,0,-9.09E-13,9119.583597,2813.420182,-11759.59453,11759.59453,-208.9268064,173.4092493,208.9268064,-180,-208.9268064,1544.504281,0.036286703,0,0,180,180,1/01/2021 17:00,,
18,8861.245097,-8861.245097,0,0,8861.245097,-701.5252244,-8159.719873,-9.09E-13,0,8159.719873,701.5252244,0,0,0,0,0,-180,0,1364.504281,0.041060705,-7222.793883,-6345.521664,180,0,1/01/2021 18:00,,
19,5975.465183,-5975.465183,0,0,5975.465183,0,-5975.465183,0,0,5975.465183,0,0,0,0,0,0,-180,0,1184.504281,0.041752065,-5824.835599,-4251.231911,180,0,1/01/2021 19:00,,
20,0,0,0,0,0,0,-4633.504038,0,0,4633.504038,0,-4566.170409,4566.170409,-81.12485497,67.33362963,81.12485497,-180,-81.12485497,1085.629136,0.039003963,0,0,180,81.12485497,1/01/2021 20:00,,
21,0,0,0,0,0,0,-4213.397196,0,0,4213.397196,0,-4152.168518,4152.168518,-73.76949144,61.2286779,73.76949144,-180,-73.76949144,979.3986272,0.037024769,0,0,180,73.76949144,1/01/2021 21:00,,
22,0,0,0,0,0,0,-4520.965704,0,0,4520.965704,0,-4455.267471,4455.267471,-79.15449821,65.69823352,79.15449821,-180,-79.15449821,878.5531254,0.036360904,0,0,180,79.15449821,1/01/2021 22:00,,
23,0,0,0,0,0,0,-2717.262186,0,0,2717.262186,0,-2677.775196,2677.775196,-47.57468623,39.48698957,47.57468623,-180,-47.57468623,746.1278116,0.035588642,0,0,180,47.57468623,1/01/2021 23:00,,
24,0,0,0,0,0,0,-4287.019727,0,0,4287.019727,0,-4224.721174,4224.721174,-75.05849801,62.29855335,75.05849801,-180,-75.05849801,641.1863096,0.034987791,0,0,180,75.05849801,2/01/2021 0:00,,
25,-14185.40851,0,14185.40851,-14185.40851,0,0,-2539.734891,0,0,2539.734891,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,754.015413,0.028842533,10502.46645,10707.36083,180,180,2/01/2021 1:00,,
26,-14633.25379,0,14633.25379,-14633.25379,0,0,-2091.889609,0,0,2091.889609,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,866.8445163,0.026899475,12154.90696,10976.03042,180,180,2/01/2021 2:00,,
27,-14864.76862,0,14864.76862,-14864.76862,0,0,-1860.37478,0,0,1860.37478,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,979.6736197,0.027278198,10115.52587,11211.07018,180,180,2/01/2021 3:00,,
28,0,0,0,0,0,0,-1048.878499,0,0,1048.878499,0,-1033.636299,1033.636299,-18.36409668,15.24220024,18.36409668,-180,-18.36409668,818.0377164,0.031083653,0,0,180,18.36409668,2/01/2021 4:00,,
29,0,0,0,0,0,0,-1226.755922,0,0,1226.755922,0,-1208.928824,1208.928824,-21.47843088,17.82709763,21.47843088,-180,-21.47843088,659.5161473,0.031454086,0,0,180,21.47843088,2/01/2021 5:00,,
30,-10842.1281,0,10842.1281,-10842.1281,0,-5883.015305,0,0,0,0,5883.015305,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,772.3452506,0.025999062,8154.18931,8015.202531,180,180,2/01/2021 6:00,,
31,-6370.796242,0,6370.796242,-6370.796242,0,-10354.34716,0,0,0,0,10354.34716,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,885.174354,0.029945839,2771.582907,4567.755641,180,180,2/01/2021 7:00,,
32,0,0,0,0,0,-13618.56017,-219.5913405,0,0,219.5913405,13618.56017,-13637.05684,13637.05684,-242.2827357,201.0946706,242.2827357,-180,-242.2827357,947.4570897,0.033228744,0,0,180,180,2/01/2021 8:00,,
33,0,0,0,0,0,-14436.44324,-414.2731296,0,0,414.2731296,14436.44324,-14634.90721,14634.90721,-260.0110418,215.8091647,260.0110418,-180,-260.0110418,1027.468131,0.033507107,0,0,180,180,2/01/2021 9:00,,
34,-1914.421085,0,1914.421085,-1914.421085,0,-14436.44324,-374.2790739,-6.25E-13,0,374.2790739,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1140.297235,0.028993333,847.5257481,1293.031501,180,180,2/01/2021 10:00,,
35,-3073.762354,0,3073.762354,-3073.762354,0,-13386.97052,-264.410533,0,0,264.410533,13386.97052,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1253.126338,0.024357813,2495.565343,1973.659933,180,180,2/01/2021 11:00,,
36,-2195.145259,0,2195.145259,-2195.145259,0,-13959.37606,-570.6220804,0,0,570.6220804,13959.37606,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1365.955441,0.018562346,1477.486974,1404.75413,180,180,2/01/2021 12:00,,
37,-1572.009212,0,1572.009212,-1572.009212,0,-14326.46631,-826.6678816,-3.41E-13,0,826.6678816,14326.46631,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1478.784545,0.021483533,1290.141476,1012.456043,180,180,2/01/2021 13:00,,
38,0,0,0,0,0,-11896.83935,-1275.511288,-6.82E-13,0,1275.511288,11896.83935,-12980.93132,12980.93132,-230.6256834,191.4193172,230.6256834,-180,-230.6256834,1529.410228,0.031621923,0,0,180,180,2/01/2021 14:00,,
39,0,0,0,0,0,-12402.80832,-1770.631299,0,0,1770.631299,12402.80832,-13967.47258,13967.47258,-248.1530661,205.9670448,248.1530661,-180,-248.1530661,1597.563294,0.032781285,0,0,180,180,2/01/2021 15:00,,
40,0,0,0,0,0,-8980.573847,-2581.743194,0,0,2581.743194,8980.573847,-11394.29458,11394.29458,-202.4367057,168.0224657,202.4367057,-180,-202.4367057,1620,0.034914178,0,0,180,180,2/01/2021 16:00,,
41,0,0,0,0,0,-6436.841131,-2690.590386,0,0,2690.590386,6436.841131,-8994.79257,8994.79257,-159.8059594,132.6389463,159.8059594,-180,-159.8059594,1599.805959,0.040146523,0,0,180,159.8059594,2/01/2021 17:00,,
42,4440.27854,-4440.27854,0,0,4440.27854,-1472.114462,-2968.164078,0,4.55E-13,2968.164078,1472.114462,0,0,0,0,0,-180,0,1419.805959,0.042575332,-3257.723749,-3169.234244,180,0,2/01/2021 18:00,,
43,3319.061851,-3319.061851,0,0,3319.061851,0,-3319.061851,0,0,3319.061851,0,0,0,0,0,0,-180,0,1239.805959,0.064303671,-2231.788343,-2393.852971,180,0,2/01/2021 19:00,,
44,0,0,0,0,0,0,-2394.141757,0,0,2394.141757,0,-2359.350322,2359.350322,-41.9173915,34.79143495,41.9173915,-180,-41.9173915,1101.723351,0.038511146,0,0,180,41.9173915,2/01/2021 20:00,,
45,-4294.337155,0,4294.337155,-4294.337155,0,0,-1623.91288,0,0,1623.91288,0,-5832.246602,5832.246602,-103.6185944,86.00343339,103.6185944,-180,-103.6185944,1025.341945,0.032402664,2827.59589,3095.162228,180,103.6185944,2/01/2021 21:00,,
46,0,0,0,0,0,0,-1438.523689,0,0,1438.523689,0,-1417.619203,1417.619203,-25.18612796,20.90448621,25.18612796,-180,-25.18612796,870.5280733,0.034856782,0,0,180,25.18612796,2/01/2021 22:00,,
47,0,0,0,0,0,0,-1405.871273,0,0,1405.871273,0,-1385.441289,1385.441289,-24.61443914,20.42998449,24.61443914,-180,-24.61443914,715.1425124,0.03649027,0,0,180,24.61443914,2/01/2021 23:00,,
48,0,0,0,0,0,0,-1549.411257,0,0,1549.411257,0,-1526.895363,1526.895363,-27.12758259,22.51589355,27.12758259,-180,-27.12758259,562.270095,0.037752062,0,0,180,27.12758259,3/01/2021 0:00,,
49,0,0,0,0,0,0,-1927.883729,0,0,1927.883729,0,-1899.86791,1899.86791,-33.7539984,28.01581867,33.7539984,-180,-33.7539984,416.0240934,0.034041074,0,0,180,33.7539984,3/01/2021 1:00,,
50,-15672.40595,0,15672.40595,-15672.40595,0,0,-1052.737447,0,0,1052.737447,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,528.8531968,0.031891873,12689.55893,11944.421,180,180,3/01/2021 2:00,,
51,-15934.07005,0,15934.07005,-15934.07005,0,0,-791.073352,0,0,791.073352,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,641.6823001,0.028000076,12951.37962,12073.1334,180,180,3/01/2021 3:00,,
52,0,0,0,0,0,0,-1072.785862,0,0,1072.785862,0,-1057.196242,1057.196242,-18.78267436,15.58961971,18.78267436,-180,-18.78267436,480.4649745,0.035216667,0,0,180,18.78267436,3/01/2021 4:00,,
53,0,0,0,0,0,0,-2127.762266,0,0,2127.762266,0,-2096.841832,2096.841832,-37.25353508,30.92043412,37.25353508,-180,-37.25353508,337.7185096,0.034296141,0,0,180,37.25353508,3/01/2021 5:00,,
54,-9255.522476,0,9255.522476,-9255.522476,0,-5077.89406,-2391.726866,0,0,2391.726866,5077.89406,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,450.5476129,0.027982611,5437.433563,6744.096104,180,180,3/01/2021 6:00,,
55,-7006.133459,0,7006.133459,-7006.133459,0,-9266.964294,-452.0456481,9.09E-13,0,452.0456481,9266.964294,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,563.3767163,0.028420974,2891.322163,4914.625177,180,180,3/01/2021 7:00,,
56,-2697.090694,0,2697.090694,-2697.090694,0,-12746.627,-1281.425709,0,0,1281.425709,12746.627,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,676.2058196,0.031618439,1707.922305,1856.666866,180,180,3/01/2021 8:00,,
57,-584.5425243,0,584.5425243,-584.5425243,0,-14436.44324,-1704.157635,-2.27E-13,0,1704.157635,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,789.034923,0.031712921,252.0003599,390.2504189,180,180,3/01/2021 9:00,,
58,-285.1912648,0,285.1912648,-285.1912648,0,-14436.44324,-2003.508894,1.36E-12,0,2003.508894,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,901.8640263,0.017727887,183.11445,181.3068322,180,180,3/01/2021 10:00,,
59,-449.1117902,0,449.1117902,-449.1117902,0,-14436.44324,-1839.588369,0,0,1839.588369,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1014.69313,0.022015,393.2927756,296.3776213,180,180,3/01/2021 11:00,,
60,601.9888267,-601.9888267,0,0,601.9888267,-14436.44324,-2890.688986,0,-1.82E-12,2890.688986,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1127.522233,0.021939215,-519.8426305,-394.1382187,180,180,3/01/2021 12:00,,
61,1909.551565,-1909.551565,0,0,1909.551565,-14436.44324,-4198.251724,0,0,4198.251724,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1240.351336,0.007138245,-1031.883367,-1233.869104,180,180,3/01/2021 13:00,,
62,5182.521513,-5182.521513,0,0,5182.521513,-14374.51084,-7533.154076,0,0,7533.154076,14374.51084,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1353.18044,0.023081458,-3996.004936,-3497.606161,180,180,3/01/2021 14:00,,
63,4896.96421,-4896.96421,0,0,4896.96421,-13522.09576,-8100.011852,0,0,8100.011852,13522.09576,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1466.009543,0.026614783,-3999.699324,-3390.861248,180,180,3/01/2021 15:00,,
64,1937.135185,-1937.135185,0,0,1937.135185,-11701.09542,-6961.183163,-1.82E-12,0,6961.183163,11701.09542,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1578.838646,0.033633939,-725.1237179,-1342.440104,180,180,3/01/2021 16:00,,
65,0,0,0,0,0,-7705.89238,-4925.896301,0,0,4925.896301,7705.89238,-12448.22476,12448.22476,-221.1613536,183.5639234,221.1613536,-180,-221.1613536,1620,0.039634,0,0,180,180,3/01/2021 17:00,,
66,5764.614144,-5764.614144,0,0,5764.614144,-1458.977286,-4305.636859,0,0,4305.636859,1458.977286,0,0,0,0,0,-180,0,1440,0.043839189,-3773.167266,-4079.825602,180,0,3/01/2021 18:00,,
67,0,0,0,0,0,0,-4785.168368,0,0,4785.168368,0,-4715.630767,4715.630767,-83.78024205,69.5376009,83.78024205,-180,-83.78024205,1343.780242,0.041164978,0,0,180,83.78024205,3/01/2021 19:00,,
68,0,0,0,0,0,0,-4360.170776,0,0,4360.170776,0,-4296.809199,4296.809199,-76.33924973,63.36157727,76.33924973,-180,-76.33924973,1240.119492,0.039251107,0,0,180,76.33924973,3/01/2021 20:00,,
69,0,0,0,0,0,0,-3325.617882,0,0,3325.617882,0,-3277.290327,3277.290327,-58.22597027,48.32755532,58.22597027,-180,-58.22597027,1118.345462,0.035568721,0,0,180,58.22597027,3/01/2021 21:00,,
70,0,0,0,0,0,0,-3538.268225,0,0,3538.268225,0,-3486.850456,3486.850456,-61.94911977,51.41776941,61.94911977,-180,-61.94911977,1000.294582,0.037859741,0,0,180,61.94911977,3/01/2021 22:00,,
71,0,0,0,0,0,0,-4060.046682,0,0,4060.046682,0,-4001.046479,4001.046479,-71.08458211,59.00020315,71.08458211,-180,-71.08458211,891.3791639,0.036819609,0,0,180,71.08458211,3/01/2021 23:00,,
72,0,0,0,0,0,0,-3541.070405,0,0,3541.070405,0,-3489.611914,3489.611914,-61.99818122,51.45849041,61.99818122,-180,-61.99818122,773.3773451,0.036749391,0,0,180,61.99818122,4/01/2021 0:00,,
73,-1667.772674,0,1667.772674,-1667.772674,0,0,-2783.522754,0,0,2783.522754,0,-4386.609637,4386.609637,-77.93468897,64.68579185,77.93468897,-180,-77.93468897,671.3120341,0.033205608,1478.110841,1254.268458,180,77.93468897,4/01/2021 1:00,,
74,-12348.09626,0,12348.09626,-12348.09626,0,0,-4377.047142,0,0,4377.047142,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,784.1411375,0.032351863,10030.74018,9351.439428,180,180,4/01/2021 2:00,,
75,-11795.97925,0,11795.97925,-11795.97925,0,0,-4929.164155,0,0,4929.164155,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,896.9702408,0.032240235,7786.336207,8918.602626,180,180,4/01/2021 3:00,,
76,0,0,0,0,0,0,-5631.922986,0,0,5631.922986,0,-5550.08043,5550.08043,-98.60548987,81.84255659,98.60548987,-180,-98.60548987,815.5757307,0.034640682,0,0,180,98.60548987,4/01/2021 4:00,,
77,0,0,0,0,0,0,-6040.498854,0,0,6040.498854,0,-5952.718913,5952.718913,-105.7589655,87.77994133,105.7589655,-180,-105.7589655,741.3346961,0.035594834,0,0,180,105.7589655,4/01/2021 5:00,,
78,0,0,0,0,0,-4407.710386,-5606.020537,0,0,5606.020537,4407.710386,-9868.212359,9868.212359,-175.3235698,145.518563,175.3235698,-180,-175.3235698,736.658266,0.035229447,0,0,180,175.3235698,4/01/2021 6:00,,
79,0,0,0,0,0,-8948.669276,-6674.649581,0,0,6674.649581,8948.669276,-15396.28231,15396.28231,-273.5380105,227.0365488,273.5380105,-180,-273.5380105,830.1962765,0.039708638,0,0,180,180,4/01/2021 7:00,,
80,3658.910553,-3658.910553,0,0,3658.910553,-13453.78244,-6930.271513,0,0,6930.271513,13453.78244,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,943.0253799,0.041757922,-2578.336283,-2642.757797,180,180,4/01/2021 8:00,,
81,3549.062237,-3549.062237,0,0,3549.062237,-14436.44324,-5837.762396,-9.09E-13,0,5837.762396,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1055.854483,0.042029122,-2743.260066,-2509.693886,180,180,4/01/2021 9:00,,
82,3716.716292,-3716.716292,0,0,3716.716292,-14436.44324,-6005.416451,0,0,6005.416451,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1168.683587,0.037659248,-3058.880482,-2565.922677,180,180,4/01/2021 10:00,,
83,7038.14484,-7038.14484,0,0,7038.14484,-14436.44324,-9326.844999,0,0,9326.844999,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1281.51269,0.040742232,-6408.21892,-4912.56816,180,180,4/01/2021 11:00,,
84,6034.321855,-6034.321855,0,0,6034.321855,-14436.44324,-8323.022014,0,1.82E-12,8323.022014,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1394.341793,0.042604665,-5460.698766,-4161.279557,180,180,4/01/2021 12:00,,
85,6759.517863,-6759.517863,0,0,6759.517863,-14436.44324,-9048.218022,0,-1.82E-12,9048.218022,14436.44324,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1507.170897,0.039812157,-5825.375791,-4569.010862,180,180,4/01/2021 13:00,,
86,6269.694485,-6269.694485,0,0,6269.694485,-12551.82144,-10443.01645,0,1.82E-12,10443.01645,12551.82144,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1620,0.042971517,-5553.378996,-4346.627604,180,180,4/01/2021 14:00,,
87,17082.23771,-17082.23771,0,0,17082.23771,-11127.75151,-9790.999941,0,0,9790.999941,11127.75151,-3780.761897,3780.761897,-67.17089665,55.75184422,67.17089665,-180,-67.17089665,1507.170897,0.045628698,-15822.06839,-12088.91792,180,67.17089665,4/01/2021 15:00,,
88,3861.042679,-3861.042679,0,0,3861.042679,-10672.64218,-9913.543902,0,0,9913.543902,10672.64218,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1620,0.040277245,-3052.285326,-2663.743989,180,180,4/01/2021 16:00,,
89,16072.44116,-16072.44116,0,0,16072.44116,-7031.579878,-9040.861285,-1.82E-12,0,9040.861285,7031.579878,0,0,0,0,0,-180,0,1440,0.173274217,-14638.25318,-11295.07004,180,0,4/01/2021 17:00,,
90,0,0,0,0,0,-1353.316852,-8861.627482,0,0,8861.627482,1353.316852,-10066.50176,10066.50176,-178.8464779,148.4425767,178.8464779,-180,-178.8464779,1438.846478,0.045932263,0,0,180,178.8464779,4/01/2021 18:00,,
91,11219.31129,-11219.31129,0,0,11219.31129,0,-11219.31129,0,0,11219.31129,0,0,0,0,0,0,-180,0,1258.846478,0.048164171,-9960.193605,-7947.061775,180,0,4/01/2021 19:00,,
92,0,0,0,0,0,0,-7043.108297,0,0,7043.108297,0,-6940.758533,6940.758533,-123.3129689,102.3497642,123.3129689,-180,-123.3129689,1202.159447,0.043678352,0,0,180,123.3129689,4/01/2021 20:00,,
93,0,0,0,0,0,0,-5097.91214,0,0,5097.91214,0,-5023.829777,5023.829777,-89.25585898,74.08236295,89.25585898,-180,-89.25585898,1111.415306,0.039270129,0,0,180,89.25585898,4/01/2021 21:00,,
94,0,0,0,0,0,0,-4351.764238,0,0,4351.764238,0,-4288.524824,4288.524824,-76.1920654,63.23941428,76.1920654,-180,-76.1920654,1007.607371,0.041169204,0,0,180,76.1920654,4/01/2021 22:00,,
95,0,0,0,0,0,0,-3813.145415,0,0,3813.145415,0,-3757.733157,3757.733157,-66.7617566,55.41225798,66.7617566,-180,-66.7617566,894.3691278,0.038630887,0,0,180,66.7617566,4/01/2021 23:00,,
96,0,0,0,0,0,0,-3455.485483,0,0,3455.485483,0,-3405.270704,3405.270704,-60.49973332,50.21477866,60.49973332,-180,-60.49973332,774.8688611,0.039908479,0,0,180,60.49973332,5/01/2021 0:00,,
97,0,0,0,0,0,0,-2888.386159,0,0,2888.386159,0,-2846.412412,2846.412412,-50.5707789,41.97374649,50.5707789,-180,-50.5707789,645.43964,0.039604181,0,0,180,50.5707789,5/01/2021 1:00,,
98,0,0,0,0,0,0,-2581.150939,0,0,2581.150939,0,-2543.641905,2543.641905,-45.19160745,37.50903418,45.19160745,-180,-45.19160745,510.6312474,0.039014981,0,0,180,45.19160745,5/01/2021 2:00,,
99,-14451.34091,0,14451.34091,-14451.34091,0,0,-2273.802494,0,0,2273.802494,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,623.4603508,0.037422248,12490.43874,10979.42507,180,180,5/01/2021 3:00,,
100,-189.143684,0,189.143684,-189.143684,0,0,-3563.586549,0,0,3563.586549,0,-3698.195922,3698.195922,-65.70398847,54.53431043,65.70398847,-180,-65.70398847,509.1643393,0.037868572,176.6298387,144.3256178,180,65.70398847,5/01/2021 4:00,,
101,-9574.655196,0,9574.655196,-9574.655196,0,0,-7150.488205,0,0,7150.488205,0,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,621.9934426,0.037569617,8997.517149,7316.5522,180,180,5/01/2021 5:00,,
102,-10077.39013,0,10077.39013,-10077.39013,0,-3074.474646,-3573.278629,0,4.55E-13,3573.278629,3074.474646,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,734.822546,0.032036425,6697.882815,7361.945633,180,180,5/01/2021 6:00,,
103,-3178.353209,0,3178.353209,-3178.353209,0,-7555.940894,-5990.849299,0,-9.09E-13,5990.849299,7555.940894,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,847.6516493,0.028712333,2704.63545,2216.245306,180,180,5/01/2021 7:00,,
104,-2038.49517,0,2038.49517,-2038.49517,0,-10943.45569,-3743.192543,0,-1.82E-12,3743.192543,10943.45569,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,960.4807527,0.030076672,1957.80955,1407.49562,180,180,5/01/2021 8:00,,
105,-3609.445682,0,3609.445682,-3609.445682,0,-10891.28233,-2224.41539,-4.55E-13,0,2224.41539,10891.28233,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1073.309856,0.032039238,2651.390012,2440.505676,180,180,5/01/2021 9:00,,
106,-1646.509322,0,1646.509322,-1646.509322,0,-12829.95423,-2248.679847,-9.09E-13,0,2248.679847,12829.95423,-16482.09525,16482.09525,-292.8291034,243.0481558,292.8291034,-180,-292.8291034,1186.138959,0.033550795,875.2367918,1104.580104,180,180,5/01/2021 10:00,,
107,0,0,0,0,0,-13615.93273,-2786.642545,-1.36E-12,0,2786.642545,13615.93273,-16164.21465,16164.21465,-287.1814786,238.3606272,287.1814786,-180,-287.1814786,1293.320438,0.038102993,0,0,180,180,5/01/2021 11:00,,
108,18076.44655,-18076.44655,0,0,18076.44655,-13736.41941,-4340.027136,0,0,4340.027136,13736.41941,0,0,0,0,0,-180,0,1113.320438,0.059026703,-17005.454,-12442.44735,180,0,5/01/2021 12:00,,
